image_ID;DAPI_ID;DAPI_volume;nFC1;nFC2;nFC3;MNN_D_FC1FC2;MNN_D_FC1FC3;MNN_D_FC2FC3;ID_FC1;ID_FC2;ID_FC3;xFC1;yFC1;zFC1;xFC2;yFC2;zFC2;xFC3;yFC3;zFC3
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.800027300212878;1.11972303028693;0.328959921505226;7;3;5;1107.41660452399;1616.78722346508;23.9005717126523;1106.46042120552;1618.93972403776;18.2258533042847;1108.3097412481;1619.27777777778;15.9383561643836
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.629901293980661;0.701406564936393;0.596878626855804;8;8;15;1253.72607260726;1824.48184818482;20.1245874587459;1261.19800483676;1811.95737605804;21.8219467956469;1257.53790087464;1807.51603498542;20.7706511175899
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.706543072070519;1.02548605708986;0.557370743089221;11;4;2;1747.20825852783;1988.15888689408;20.9569120287253;1731.97352647353;1984.74175824176;18.5969030969031;1734.90265486726;1988.14336283186;14.5309734513274
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.230142538440697;0.634032005924795;0.509302428180181;12;5;11;2191.06379310345;2146.04827586207;21.4172413793103;2186.00208877285;2144.08825065274;20.8720626631854;2188.29502572899;2145.37135506003;16.9622641509434
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.823793959586309;0.375066901569299;0.879080403971666;14;7;12;1001.79489559165;1947.70997679814;23.861252900232;1005.88844858332;1927.57023974638;23.4798890429958;1008.95966135458;1948.83814741036;22.1633466135458
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.498373041938142;0.894916517587897;0.273234985812497;16;6;9;951.188727583262;1657.6024765158;25.2788215200683;947.128615702479;1654.42975206612;22.0377066115702;954.28672427337;1649.32128829537;19.4069128043991
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.556037807582956;0.289238342939127;0.530592579131175;24;15;21;1719.42465156794;2546.3118466899;29.6668118466899;1727.03397260274;2557.89917808219;29.3715068493151;1717.40077274324;2550.12539515279;28.0094836670179
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.678473405409665;0.794848227284609;0.454775755148116;27;16;23;2030.61869747899;2372.22023809524;34.6960784313725;2033.70605819051;2358.45635711439;32.0047827819849;2029.74442631865;2364.41653072322;29.4806960304513
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.160686381114379;0.751555868610986;0.41949477883487;30;25;31;1561.96853932584;1343.41872659176;37.110861423221;1560.69111111111;1339.66111111111;36.9333333333333;1546.23037542662;1345.64419795222;34.2482935153584
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.657673514644604;0.869431742458511;0.7301789701494;31;17;25;1916.54856550294;2427.39474593847;37.3919806429312;1909.12678571429;2439.72886904762;35.1220238095238;1909.80196198651;2437.31085223789;32.2127529123237
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.662441028161881;0.804677116156999;0.297640559745292;36;26;35;2151.60307517084;2372.6486332574;38.9071753986333;2148.39500772002;2356.55892949048;39.5522388059701;2154.74813432836;2353.24020522388;40.1231343283582
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.45311306486463;0.802503561741321;0.529065224613691;37;31;36;2330.81801385681;2180.63140877598;40.9565819861432;2329.76541353383;2176.26917293233;43.928320802005;2347.22925311203;2174.03526970954;38.2510373443983
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.214742155870645;0.347497589960634;1.06193218072156;38;27;32;1064.25899788285;2758.27381792519;38.9266055045872;1062.12903225806;2757.86935483871;40.3298387096774;1067.05898681471;2764.41221374046;37.3629424011103
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;0.234179498081322;0.241560767308581;2.41415084065017;42;33;41;2180.18250813155;2091.65341525117;49.6075171666064;2185.81866197183;2093.23591549296;49.5883802816901;2180.85836909871;2097.08369098712;48.8776824034335
S2_Ivana-Field-01-Airyscan3DProcessed;1;19412.802752;46;35;41;3.34115663983958;2.95759260249374;0.27010294985153;45;32;28;1313.65477057538;2205.05316824472;50.0524399126001;1283.67900552486;2129.92651933702;44.0966850828729;1277.95499618612;2176.89778794813;33.3928299008391
S2_Ivana-Field-01-Airyscan3DProcessed;2;1007.652128;1;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
S2_Ivana-Field-01-Airyscan3DProcessed;3;430.527328;1;1;1;0.45411572782251;1.12916130674774;0.817699602203395;1;1;1;281.053267435475;407.120812740253;42.3440417353103;286.141632653061;414.590612244898;44.3069387755102;302.974358974359;410.048155096936;47.3564727954972
S2_Ivana-Field-01-Airyscan3DProcessed;4;514.78448;1;2;2;0.51742728841299;0.796284982019506;0.557096243270476;1;2;2;1286.60508529128;853.83907306083;40.0756356614097;1294.9870382372;854.130913804277;37.2618276085548;1287.29329173167;862.469578783151;34.9539781591264
S2_Ivana-Field-02-Airyscan3DProcessed;1;12204.658368;30;26;22;0.43638883405629;4.40107543304673;4.55924881362157;7;4;3;1443.61151832461;1264.37591623037;20.257242582897;1441.15827523883;1271.06403304932;17.8964626904209;1549.74189985272;1277.78129602356;27.6115611192931
S2_Ivana-Field-02-Airyscan3DProcessed;1;12204.658368;30;26;22;1.9743254460413;2.1372918572977;0.467894130085921;11;12;14;1168.0509233352;1979.5987688864;29.9457190822608;1214.4294755877;1963.1609403255;31.0542495479204;1212.81007751938;1953.68313953488;33.7790697674419
S2_Ivana-Field-02-Airyscan3DProcessed;1;12204.658368;30;26;22;3.58552487759998;2.98309718126895;0.541705546557498;13;19;19;627.828571428571;1700.86571428571;26.9352380952381;645.691964285714;1645.04836309524;46.3139880952381;641.168766246751;1679.46150769846;46.9876024795041
S2_Ivana-Field-02-Airyscan3DProcessed;1;12204.658368;30;26;22;1.31066116609506;0.909942717952474;0.977482021702694;17;8;10;1325.66066997519;1809.87344913151;31.4522332506203;1308.29399412012;1830.77068458631;26.220075598488;1309.73330404218;1822.68760984183;28.6006151142355
