image_ID;DAPI_ID;DAPI_volume;nFC1;nFC2;nFC3;MNN_D_FC1FC2;MNN_D_FC1FC3;MNN_D_FC2FC3;ID_FC1;ID_FC2;ID_FC3;xFC1;yFC1;zFC1;xFC2;yFC2;zFC2;xFC3;yFC3;zFC3
S4_Ivana-Field-01-Airyscan3DProcessed;1;721.078624;4;5;3;0.396700686760539;0.980477959580892;0.611853605413719;2;1;1;216.607457898958;1947.7016840417;26.0549318364074;217.829198473282;1938.32251908397;25.2027671755725;213;1923.90152284264;24.7340101522843
S4_Ivana-Field-01-Airyscan3DProcessed;1;721.078624;4;5;3;0.193227329346971;0.753369504173252;0.565403464174689;3;2;2;408.332718043378;1758.03922473466;30.2639593908629;409.088383838384;1753.85921717172;29.6066919191919;412.81387283237;1743.94219653179;26.9329479768786
S4_Ivana-Field-01-Airyscan3DProcessed;1;721.078624;4;5;3;0.0597081381634705;0.484067036970897;0.523766923193891;4;4;3;286.940317460317;1889.38603174603;39.4444444444444;287.095701540957;1889.38929440389;39.8686131386861;289.446776039679;1898.15604731019;37.172071728348
S4_Ivana-Field-01-Airyscan3DProcessed;2;806.41456;4;3;3;0.445036121016681;0.327039795851279;0.194087360142026;1;1;2;1682.02665121669;1861.61066048667;42.0046349942063;1673.58713355049;1857.37622149837;40.3232899022801;1676.8907480315;1860.9030511811;40.1983267716535
S4_Ivana-Field-01-Airyscan3DProcessed;2;806.41456;4;3;3;0.888193936386423;1.20000799007284;0.368028194911786;3;2;3;1497.28877005348;1790.18288770053;50.2112299465241;1506.5138223369;1792.83118319204;44.4902322152599;1504.52895480226;1792.67867231638;41.9237288135593
S4_Ivana-Field-01-Airyscan3DProcessed;3;447.661088;2;3;1;1.47310707190912;1.65878958850253;0.455659959627249;1;1;1;2575.08876811594;2159.65307971014;29.8913043478261;2597.56461644782;2158.07809260539;21.5680718728404;2590.86906951085;2158.56454578889;18.9385803604266
S4_Ivana-Field-01-Airyscan3DProcessed;4;1431.904992;5;4;4;0.5243577258039;2.19753530822272;2.43637988637324;1;2;2;414.927634774162;418.599320058281;32.3661971830986;419.461920529801;428.692052980132;30.3576158940397;362.431719965428;407.934745030251;28.8824546240277
S4_Ivana-Field-01-Airyscan3DProcessed;4;1431.904992;5;4;4;0.405568844977874;0.521683810542606;0.312329892435844;4;4;3;559.907484407484;571.692307692308;49.2962577962578;555.758949880668;576.814319809069;47.0949880668258;562.357627885921;576.513354459031;45.9053870529651
S4_Ivana-Field-01-Airyscan3DProcessed;5;483.343392;2;1;2;0.324998848404864;0.990907262101681;0.944938009277321;2;1;2;1129.5416227608;2456.33140147524;40.8013698630137;1122.3231913455;2453.18593644354;41.3739012846518;1124.1926286509;2438.71349095967;36.0660639777469
S4_Ivana-Field-01-Airyscan3DProcessed;7;1455.240416;2;5;5;0.106057766140899;0.220458184948322;0.13159380165534;2;5;5;1045.06444589593;310.93054648378;52.3376877857609;1043.55657036347;312.464305684995;51.8946877912395;1042.48858346265;312.353136776768;51.0062070494347
S4_Ivana-Field-01-Airyscan3DProcessed;8;2102.385152;10;8;9;0.447201751299369;0.561769843421499;0.531986470343691;1;1;1;2731.04691358025;772.02304526749;22.2962962962963;2741.62443946188;771.330044843049;21.2809417040359;2733.53265720081;774.666125760649;18.419878296146
S4_Ivana-Field-01-Airyscan3DProcessed;8;2102.385152;10;8;9;0.294240479006752;0.424989033284654;0.549258767987045;2;2;3;2504.61716489875;795.987463837994;28.1128254580521;2511.4118426867;793.169686257181;28.1294741493593;2499.31252709146;787.068487212831;28.7641959254443
