"image_ID";"DAPI_ID";"DAPI_volume";"nFC1";"nFC2";"nFC3";"MNN_D_FC1FC2";"MNN_D_FC1FC3";"MNN_D_FC2FC3";"ID_FC1";"ID_FC2";"ID_FC3";"xFC1";"yFC1";"zFC1";"xFC2";"yFC2";"zFC2";"xFC3";"yFC3";"zFC3"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";1;"736.32272";1;3;3;"0.193074393592764";"0.388268524363702";"0.426331832444834";1;2;3;"109.313794845882";"1364.4214249621";"15.2304194037393";"110.687834224599";"1366.77941176471";"14.0929144385027";"101.083475298126";"1369.55934128336";"15.1476433844407"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";2;"58.316832";1;1;1;"1.35086949571979";"3.9675906949147";"3.82345991194997";1;1;1;"149.598598598599";"2391.14814814815";"5.56856856856857";"142.582834331337";"2363.19560878244";"10.5988023952096";"51.872216330859";"2376.90455991516";"2.93001060445387"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";3;"83.762112";0;0;1;"NaN";"NaN";"NaN";NA;NA;NA;"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";4;"263.05664";1;1;1;"4.97585884857117";"0.737273580649742";"4.29757664577012";1;1;1;"516.122068550812";"358.094407696933";"14.907396271798";"635.357192494788";"368.826268241835";"5.25086865879083";"531.708699902248";"366.158357771261";"13.297165200391"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";6;"174.706336";0;0;1;"NaN";"NaN";"NaN";NA;NA;NA;"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";7;"137.150272";0;0;1;"NaN";"NaN";"NaN";NA;NA;NA;"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.135516877563789";"2.06776202631766";"2.08910524042869";6;4;24;"1763.03920421299";"592.722059684026";"4.55119953188999";"1765.2842435094";"595.257385854969";"4.57967770814682";"1779.74324324324";"567.608108108108";"16.5462304409673"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.248239470483777";"0.539693445527489";"0.687579115422992";18;10;6;"1697.5296912114";"2004.90617577197";"9.76900237529691";"1692.65444584914";"2008.53982300885";"10.1238938053097";"1699.10153256705";"2001.09770114943";"6.09818007662835"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"3.09077606581251";"2.7093870684135";"1.44243152340741";19;28;34;"1999.10758196721";"1623.96413934426";"10.4436475409836";"2048.40911225928";"1651.15594175669";"25.5636449037107";"2044.99212598425";"1644.46153846154";"23.4191399152029"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.351869310794574";"0.379393883316821";"0.40462109182191";20;16;15;"2390.22994652406";"900.32766164317";"11.4477394263491";"2397.32602118003";"895.217851739788";"11.1739788199697";"2392.75287704422";"899.169594185342";"8.8564506359782"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"4.86702626217395";"8.93267048171333";"3.26628972122281";21;21;12;"2275.12708333333";"1267.31875";"11.5958333333333";"2222.18696883853";"1376.16997167139";"15.1382436260623";"2165.05203252033";"1461.08130081301";"7.45609756097561"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"1.24107885447235";"4.2209893349959";"3.9074642415683";22;18;28;"1516.22222222222";"1113.25701459035";"14.2452300785634";"1496.1455566905";"1136.51072522983";"15.4862104187947";"1503.54425711275";"1213.21548998946";"23.2033719704953"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.275714995088592";"1.27675496030671";"4.23268671644037";24;14;18;"1939.46577946768";"1575.27376425856";"12.4847908745247";"1941.93252811329";"1569.31195335277";"11.7917534360683";"1908.21731748727";"1581.76004527448";"12.634974533107"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.163186650456189";"3.89959562588175";"0.25426604451561";28;19;25;"1556.63547646383";"2302.63203214696";"15.5539609644087";"1555.60589444825";"2303.85058259082";"14.4811514736121";"1475.3641221374";"2249.36946564886";"17.8099236641221"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.512659935378682";"0.388814294944785";"0.50031798066919";33;26;30;"1571.7216957606";"521.62493765586";"24.0588528678304";"1583.31514856308";"525.923039454457";"23.0949829517779";"1566.118287373";"527.464804063861";"22.5206821480406"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.28915256522357";"0.346636869065223";"0.695297789684803";34;23;29;"1649.54702702703";"651.513513513514";"21.5081081081081";"1642.39059537353";"652.32499051953";"21.6848691695108";"1643.05647636587";"652.193370165746";"19.8790669122161"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.665961960556414";"0.533718258857188";"0.424880926080961";36;25;31;"2243.31143114311";"445.962196219622";"23.9252925292529";"2254.60116834838";"456.569304301646";"22.182156133829";"2243.88558352403";"452.881006864989";"20.6697177726926"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";8;"11341.477504";42;32;38;"0.430611815533883";"1.63687222982188";"1.28340528697649";42;32;37;"1434.61218836565";"1066.12396121884";"40.255540166205";"1429.1192517537";"1067.38308651598";"37.6348402182385";"1421.71618204804";"1051.1201011378";"30.0208596713021"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";9;"62.614272";0;0;0;"NaN";"NaN";"NaN";NA;NA;NA;"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";10;"59.987648";0;0;0;"NaN";"NaN";"NaN";NA;NA;NA;"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";11;"189.989856";0;1;0;"NaN";"NaN";"NaN";NA;NA;NA;"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";12;"376.065088";2;2;1;"1.53161153807049";"2.96262646645366";"4.14975499986654";1;1;1;"2054.5566951567";"2705.89116809117";"15.5874643874644";"2084.1695052717";"2681.64720194647";"15.242497972425";"2036.71020856202";"2760.35126234907";"28.9926820343944"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_01";13;"387.868096";1;1;4;"2.57421942012145";"0.411964169033088";"2.82795560130677";1;1;3;"2588.66422354558";"325.300961978928";"24.9092991296381";"2538.732856291";"290.518187239117";"30.8932617769827";"2594.35391198044";"322.951711491443";"22.5501222493888"
"NPC_wt_rep1_Probes_Zfp_10kb_Airyscan_4y_02";1;"492.896096";3;3;2;"0.134180385957731";"0.326798927124496";"0.207724042942056";1;1;1;"517.46322671025";"1002.62502918515";"24.7520429605417";"517.398660556926";"1001.36235459993";"23.8642932675361";"520.20522875817";"1000.42287581699";"22.6450980392157"
